19920101,0000,97,97,TOP
19920101,0000,91,91,MET
19920101,0000,98,98,CRSS
19920101,0000,99,99,EP2
20011207,0000,99,99,JASON
19920101,0000,92,92,GFO
19920101,0000,93,93,GRACEA
19920101,0000,94,94,GRACEB
20000701,0000,95,95,CHAMP
20001130,0000,96,96,SACC
19920101,0000,00,00,GENRC
